addee, addor, resnum, remres, remnum, remrem
14, 39, 53, 54, false, false
14, 40, 54, 55, false, false
14, 41, 55, 56, false, false
14, 42, 56, 57, false, false
14, 43, 57, 58, false, false
14, 44, 58, 59, false, false
14, 45, 59, 00, false, true
14, 46, 00, 01, true, true
14, 47, 01, 02, true, true
14, 48, 02, 03, true, true
14, 49, 03, 04, true, true
14, 50, 04, 05, true, true
14, 51, 05, 06, true, true
14, 52, 06, 07, true, true
14, 53, 07, 08, true, true
14, 54, 08, 09, true, true
14, 55, 09, 10, true, true
14, 56, 10, 11, true, true
14, 57, 11, 12, true, true
14, 58, 12, 13, true, true
14, 59, 13, 14, true, true
15, 00, 15, 16, false, false
15, 01, 16, 17, false, false
15, 02, 17, 18, false, false
15, 03, 18, 19, false, false
15, 04, 19, 20, false, false
15, 05, 20, 21, false, false
15, 06, 21, 22, false, false
15, 07, 22, 23, false, false
15, 08, 23, 24, false, false
15, 09, 24, 25, false, false
15, 10, 25, 26, false, false
15, 11, 26, 27, false, false
15, 12, 27, 28, false, false
15, 13, 28, 29, false, false
15, 14, 29, 30, false, false
15, 15, 30, 31, false, false
15, 16, 31, 32, false, false
15, 17, 32, 33, false, false
15, 18, 33, 34, false, false
15, 19, 34, 35, false, false
15, 20, 35, 36, false, false
15, 21, 36, 37, false, false
15, 22, 37, 38, false, false
